연번,가맹점명,업종명,우편번호,소재지주소,제공기준일자
2941,경희청강한의원,"한의원,한약방",13504,경기도 성남시 분당구 매화로 38  201호,2025-06-26
2942,경희태평한의원,"한의원,한약방",13110,"경기 성남시 수정구 성남대로 1239,  2층 (태평동)",2025-06-26
2943,경희판교부부한의원,"한의원,한약방",13492,"경기도 성남시 분당구 판교로 376  , 402, 403호(삼평동, 마크시티 퍼플)",2025-06-26
2944,경희팔팔한의원,"한의원,한약방",13157,경기도 성남시 중원구 산성대로 492-1  3층,2025-06-26
2945,경희푸른한의원,"한의원,한약방",13600,경기 성남시 분당구 돌마로366번길 42  (수내동),2025-06-26
2946,경희한마음한의원,"한의원,한약방",13105,"경기도 성남시 수정구 청계산로1길 27  , 2층 202호, 203호",2025-06-26
2947,경희한약국,"한의원,한약방",13111,경기 성남시 수정구 모란로 89  (태평동),2025-06-26
2948,경희한의원,"한의원,한약방",13327,경기 성남시 수정구 수정로 120  (수진동),2025-06-26
2949,경희한의원,"한의원,한약방",13589,"경기 성남시 분당구 중앙공원로40번길 8,  현대상가 218 (서현동)",2025-06-26
2950,경희한의원,"한의원,한약방",13355,경기도 성남시 중원구 광명로 5  3층301호,2025-06-26
2951,경희한중한의원,"한의원,한약방",13346,"경기 성남시 수정구 시민로 172,  2층 (신흥동, 성원빌딩)",2025-06-26
2952,경희해담한의원,"한의원,한약방",13316,"경기 성남시 수정구 수정로 94-1,  2층 (수진동, 다정빌딩)",2025-06-26
2953,경희행복한한의원,"한의원,한약방",13305,"경기 성남시 수정구 수정로119번길 4,  2층 (태평동)",2025-06-26
2954,경희홍익한의원,"한의원,한약방",13627,"경기 성남시 분당구 돌마로 80,  204호 (구미동, 분당현대벤쳐빌)",2025-06-26
2955,경희황경화한의원,"한의원,한약방",13640,"경기도 성남시 수정구 위례광장로 104  2257, 2258호(창곡동, 위례한화오벨리스크 센트럴스퀘어)",2025-06-26
2956,계단밑테이블,문구용품,13535,"경기 성남시 분당구 동판교로52번길 25-15,  지하1층 (백현동)",2025-06-26
2957,계동치킨,일반대중음식,13395,"경기 성남시 중원구 금상로 43,  1층 일부호 (상대원동)",2025-06-26
2958,계동치킨,일반대중음식,13234,경기도 성남시 중원구 금상로112번길 2  .,2025-06-26
2959,계란리사진관,"사진관,DPNE",13182,"경기 성남시 중원구 광명로 364,  2층 (금광동)",2025-06-26
2960,계란집,한식,13493,경기도 성남시 분당구 판교역로 230  b동 지하1층 b-107,2025-06-26
2961,계룡세탁소,세탁소,13615,"경기도 성남시 분당구 성남대로171번길 8  106호(금곡동, 청솔마을분산상가동1층)",2025-06-26
2962,계보수학학원,일반전문학원,13182,"경기 성남시 중원구 금빛로 49,  3층 2호 (금광동, 대상빌딩)",2025-06-26
2963,계서 즉석냉면 도삭면,중식,13327,경기도 성남시 수정구 수정남로 43  1층,2025-06-26
2964,계영법무사사무소,"법률,사무SVC",13383,"경기 성남시 중원구 성남대로 1115,  601호 (성남동)",2025-06-26
2965,계절반찬,식품잡화,13405,"경기 성남시 중원구 둔촌대로 300,  상가동 1층 132호 (하대원동, 아튼빌)",2025-06-26
2966,계정이비인후과,개인병원,13305,경기 성남시 수정구 수정로 121  (태평동),2025-06-26
2967,고,"이용,미용",13337,경기도 성남시 중원구 산성대로 지하204-5  c동 가층 6호,2025-06-26
2968,고갸세상,미용재료,13112,경기 성남시 수정구 복정로84번길 22-3  (복정동),2025-06-26
2969,고고스,이벤트,13441,"경기도 성남시 분당구 장미로 55  , 108동 1001호",2025-06-26
2970,고고스판교(GOGOS),일반대중음식,13530,"경기도 성남시 분당구 판교역로 145  1층119,120호(백현동,알파리움2단지",2025-06-26
2971,고공 분당점,한식,13609,경기도 성남시 분당구 백현로156번길 16  1층(정자동),2025-06-26
2972,고구려  태권도  아카데미,일반전문학원,13390,"경기 성남시 중원구 둔촌대로 305,  3층 (하대원동, 장원빌딩)",2025-06-26
2973,고구려약국,약국,13327,경기 성남시 수정구 수진동  28-1번지 창도빌딩 1층 고구려약국,2025-06-26
2974,고궁,중식,462100,"경기  성남시  중원구  여수울로15번길  8 - 6 (여수동,1층)",2025-06-26
2975,고귀한우,정육점,13587,"경기도 성남시 분당구 불정로386번길 10  601동 1층 1029호,1030호(서현동)",2025-06-26
2976,고기가맛있는집,한식,13309,"경기 성남시 수정구 남문로 16,  1층 (태평동)",2025-06-26
2977,고기나라,한식,13313,"경기 성남시 수정구 모란로 56,  1층 (수진동)",2025-06-26
2978,고기대장군정육점,정육점,13609,"경기도 성남시 분당구 내정로129번길 26  102호(정자동, 명진종합상가)",2025-06-26
2979,고기대통령,정육점,13466,"경기도 성남시 분당구 운중로 132  106,107호",2025-06-26
2980,고기마당,한식,13134,경기도 성남시 수정구 산성대로 601  101호,2025-06-26
2981,고기반김치반,한식,13201,"경기도 성남시 중원구 갈마치로288번길 14  , 지하1층 B140호(상대원동)",2025-06-26
2982,고기백화점,정육점,13589,경기도 성남시 분당구 중앙공원로40번길 42  1층,2025-06-26
2983,고기사랑,한식,13222,경기 성남시 중원구 둔촌대로425번길 33  (상대원동),2025-06-26
2984,고기사랑,한식,13338,"경기 성남시 수정구 시민로175번길 20,  1층 (신흥동, 세영빌딩)",2025-06-26
2985,고기시장,한식,13248,경기 성남시 중원구 산성대로334번길 8  (중앙동),2025-06-26
2986,고기아재(위례점),정육점,13647,경기도 성남시 수정구 위례광장로 27  110호(으뜸프라자),2025-06-26
2987,고기원칙 성남고등점,한식,13105,경기도 성남시 수정구 청계산로2길 21  1층,2025-06-26
2988,고기의즐거움 분당직영점,한식,13558,경기도 성남시 분당구 성남대로331번길 9-14  1층 102호,2025-06-26
2989,고기좋아,한식,13306,"경기 성남시 수정구 성남대로1318번길 2,  1층 (태평동)",2025-06-26
